"","launched_at","total_pledged","cumsum"
"1",2019-11-17,1872,1872
"2",2019-11-18,402481.71,404353.71
"3",2019-11-19,502011.57,906365.28
"4",2019-11-20,141507.05,1047872.33
"5",2019-11-21,54295.89,1102168.22
"6",2019-11-22,24651.29,1126819.51
"7",2019-11-23,21108.32,1147927.83
"8",2019-11-24,10570.29,1158498.12
"9",2019-11-25,19085.92,1177584.04
"10",2019-11-26,434750.38,1612334.42
"11",2019-11-27,3329307.31,4941641.73
"12",2019-11-28,14663.18,4956304.91
"13",2019-11-29,3430051.72,8386356.63
"14",2019-11-30,50155,8436511.63
"15",2019-12-01,32319.12,8468830.75
"16",2019-12-02,977497.2,9446327.95
"17",2019-12-03,751756.12,10198084.07
"18",2019-12-04,241911.47,10439995.54
"19",2019-12-05,1563825.66,12003821.2
"20",2019-12-06,72136.89,12075958.09
"21",2019-12-07,112874.71,12188832.8
"22",2019-12-08,101777.61,12290610.41
"23",2019-12-09,1475934.96,13766545.37
"24",2019-12-10,2106400.41,15872945.78
"25",2019-12-11,1523948.43,17396894.21
"26",2019-12-12,2310689.5,19707583.71
"27",2019-12-13,1132046.98,20839630.69
"28",2019-12-14,24974.8,20864605.49
"29",2019-12-15,1558601.75,22423207.24
"30",2019-12-16,646051.28,23069258.52
"31",2019-12-17,2260770.99,25330029.51
"32",2019-12-18,566474.38,25896503.89
"33",2019-12-19,1307311.79,27203815.68
"34",2019-12-20,1849090.26,29052905.94
"35",2019-12-21,600423.24,29653329.18
"36",2019-12-22,553760.44,30207089.62
"37",2019-12-23,172786.82,30379876.44
"38",2019-12-24,11535.3,30391411.74
"39",2019-12-25,160782.9,30552194.64
"40",2019-12-26,452582.9,31004777.54
"41",2019-12-27,145742,31150519.54
"42",2019-12-28,1063724.74,32214244.28
"43",2019-12-29,13865.8,32228110.08
"44",2019-12-30,3794794.35,36022904.43
"45",2019-12-31,1413358.64,37436263.07
"46",2020-01-01,881066.88,38317329.95
"47",2020-01-02,281034.46,38598364.41
"48",2020-01-03,261806.32,38860170.73
"49",2020-01-04,109362.48,38969533.21
"50",2020-01-05,295327.04,39264860.25
"51",2020-01-06,1599636.37,40864496.62
"52",2020-01-07,4987989.94,45852486.56
"53",2020-01-08,875186.5,46727673.06
"54",2020-01-09,550067.17,47277740.23
"55",2020-01-10,3193096.05,50470836.28
"56",2020-01-11,19525497.11,69996333.39
"57",2020-01-12,174464.16,70170797.55
"58",2020-01-13,240333.89,70411131.44
"59",2020-01-14,11147489.26,81558620.7
"60",2020-01-15,7646804.87,89205425.57
"61",2020-01-16,956307.35,90161732.92
"62",2020-01-17,508349.27,90670082.19
"63",2020-01-18,249140.33,90919222.52
"64",2020-01-19,70850.67,90990073.19
"65",2020-01-20,563663.54,91553736.73
"66",2020-01-21,16470541.45,108024278.18
"67",2020-01-22,830189.95,108854468.13
"68",2020-01-23,6631598.98,115486067.11
"69",2020-01-24,5149050.02,120635117.13
"70",2020-01-25,681942.77,121317059.9
"71",2020-01-26,185257.25,121502317.15
"72",2020-01-27,3618604.28,125120921.43
"73",2020-01-28,7310714.92,132431636.35
"74",2020-01-29,720075.9,133151712.25
"75",2020-01-30,629176.88,133780889.13
"76",2020-01-31,1354140.26,135135029.39
"77",2020-02-01,762187.98,135897217.37
"78",2020-02-02,581864.26,136479081.63
"79",2020-02-03,177545527.5,314024609.13
"80",2020-02-04,21126591.23,335151200.36
"81",2020-02-05,1321179.1,336472379.46
"82",2020-02-06,1605662.43,338078041.89
"83",2020-02-07,855722.88,338933764.77
"84",2020-02-08,177883.54,339111648.31
"85",2020-02-09,175239.5,339286887.81
"86",2020-02-10,16654183.98,355941071.79
"87",2020-02-11,4304678.67,360245750.46
"88",2020-02-12,1629053.4,361874803.86
"89",2020-02-13,457606.4,362332410.26
"90",2020-02-14,1014925.44,363347335.7
"91",2020-02-15,3792116,367139451.7
"92",2020-02-16,1533462.01,368672913.71
"93",2020-02-17,5701122.02,374374035.73
"94",2020-02-18,10382038.95,384756074.68
"95",2020-02-19,6514956.45,391271031.13
"96",2020-02-20,4239380.06,395510411.19
"97",2020-02-21,1326904.49,396837315.68
"98",2020-02-22,173786.25,397011101.93
"99",2020-02-23,494465.54,397505567.47
"100",2020-02-24,1808269.62,399313837.09
"101",2020-02-25,3442105.77,402755942.86
"102",2020-02-26,1421805.26,404177748.12
"103",2020-02-27,1042065.68,405219813.8
"104",2020-02-28,736208.1,405956021.9
"105",2020-02-29,298073,406254094.9
